frame_index,sample_second,source_frame_index,crop_path,candidate_count,best_x,best_y,best_w,best_h,best_area,best_mean,best_max,dx_from_center,dy_from_center,confidence,notes
10,10.0,300,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0010.jpg,13,842,459,52,19,482,229.94,255,-118,-81,strong,compact low-saturation bright component; audit detector
11,11.0,330,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0011.jpg,4,692,377,25,29,585,251.47,255,-268,-163,strong,compact low-saturation bright component; audit detector
12,12.0,360,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0012.jpg,33,771,394,19,13,100,236.39,241,-189,-146,strong,compact low-saturation bright component; audit detector
13,13.0,390,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0013.jpg,19,964,505,2,3,6,188.0,202,4,-35,weak,compact low-saturation bright component; audit detector
14,14.0,420,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0014.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
15,15.0,450,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0015.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
16,16.0,480,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0016.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
17,17.0,510,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0017.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
18,18.0,540,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0018.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
19,19.0,570,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0019.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
20,20.0,600,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0020.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
21,21.0,630,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0021.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
22,22.0,660,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0022.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
23,23.0,690,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0023.jpg,1,805,642,7,6,22,187.14,220,-155,102,weak,compact low-saturation bright component; audit detector
24,24.0,720,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0024.jpg,1,1237,793,7,6,28,200.18,252,277,253,medium,compact low-saturation bright component; audit detector
25,25.0,750,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0025.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
26,26.0,780,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0026.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
27,27.0,810,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0027.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
28,28.0,840,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0028.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
29,29.0,870,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0029.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
30,30.0,900,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0030.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
31,31.0,930,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0031.jpg,1,1348,475,4,7,24,198.58,254,388,-65,medium,compact low-saturation bright component; audit detector
32,32.0,960,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0032.jpg,1,1332,367,5,7,29,209.0,255,372,-173,strong,compact low-saturation bright component; audit detector
33,33.0,990,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0033.jpg,1,1390,279,6,8,33,193.52,254,430,-261,medium,compact low-saturation bright component; audit detector
34,34.0,1020,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0034.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
35,35.0,1050,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0035.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
36,36.0,1080,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0036.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
37,37.0,1110,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0037.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
38,38.0,1140,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0038.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
39,39.0,1170,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0039.jpg,1,1022,326,6,8,35,210.66,255,62,-214,strong,compact low-saturation bright component; audit detector
40,40.0,1200,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0040.jpg,0,,,,,,,,,,none,no compact low-saturation bright component detected
41,41.0,1230,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0041.jpg,1,842,456,4,7,24,190.25,255,-118,-84,medium,compact low-saturation bright component; audit detector
42,42.0,1260,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0042.jpg,1,847,500,5,7,28,208.11,255,-113,-40,strong,compact low-saturation bright component; audit detector
43,43.0,1290,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0043.jpg,1,858,580,4,8,28,198.11,253,-102,40,medium,compact low-saturation bright component; audit detector
44,44.0,1320,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0044.jpg,1,860,667,4,6,21,203.95,255,-100,127,medium,compact low-saturation bright component; audit detector
45,45.0,1350,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0045.jpg,12,735,454,7,3,20,180.0,190,-225,-86,weak,compact low-saturation bright component; audit detector
46,46.0,1380,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0046.jpg,16,940,364,7,4,23,179.78,188,-20,-176,weak,compact low-saturation bright component; audit detector
47,47.0,1410,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0047.jpg,11,986,584,2,3,6,178.0,199,26,44,weak,compact low-saturation bright component; audit detector
48,48.0,1440,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0048.jpg,13,803,290,3,4,10,188.4,239,-157,-250,weak,compact low-saturation bright component; audit detector
49,49.0,1470,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0049.jpg,6,978,533,2,3,6,182.17,204,18,-7,weak,compact low-saturation bright component; audit detector
50,50.0,1500,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0050.jpg,8,627,795,11,14,131,231.93,255,-333,255,strong,compact low-saturation bright component; audit detector
51,51.0,1530,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0051.jpg,4,825,637,14,16,170,222.54,255,-135,97,strong,compact low-saturation bright component; audit detector
52,52.0,1560,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0052.jpg,8,837,485,25,19,302,211.01,255,-123,-55,strong,compact low-saturation bright component; audit detector
53,53.0,1590,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0053.jpg,7,714,350,7,8,45,195.44,249,-246,-190,medium,compact low-saturation bright component; audit detector
54,54.0,1620,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0054.jpg,6,551,330,16,12,144,225.49,255,-409,-210,strong,compact low-saturation bright component; audit detector
55,55.0,1650,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0055.jpg,4,515,348,18,32,322,214.29,255,-445,-192,strong,compact low-saturation bright component; audit detector
56,56.0,1680,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0056.jpg,13,585,389,20,16,196,217.02,255,-375,-151,strong,compact low-saturation bright component; audit detector
57,57.0,1710,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0057.jpg,11,664,405,29,11,194,208.3,255,-296,-135,strong,compact low-saturation bright component; audit detector
58,58.0,1740,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0058.jpg,6,730,422,24,20,288,211.39,255,-230,-118,strong,compact low-saturation bright component; audit detector
59,59.0,1770,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0059.jpg,6,771,453,22,23,319,204.88,255,-189,-87,medium,compact low-saturation bright component; audit detector
60,60.0,1800,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0060.jpg,14,805,495,20,17,225,208.05,255,-155,-45,strong,compact low-saturation bright component; audit detector
61,61.0,1830,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0061.jpg,24,823,535,12,13,113,218.03,255,-137,-5,strong,compact low-saturation bright component; audit detector
62,62.0,1860,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0062.jpg,12,833,567,9,19,118,219.53,255,-127,27,strong,compact low-saturation bright component; audit detector
63,63.0,1890,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0063.jpg,12,834,606,11,18,137,217.57,255,-126,66,strong,compact low-saturation bright component; audit detector
64,64.0,1920,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0064.jpg,3,822,627,12,15,122,216.26,255,-138,87,strong,compact low-saturation bright component; audit detector
65,65.0,1950,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0065.jpg,3,799,626,16,17,195,213.88,255,-161,86,strong,compact low-saturation bright component; audit detector
66,66.0,1980,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0066.jpg,4,764,595,15,23,221,213.7,255,-196,55,strong,compact low-saturation bright component; audit detector
67,67.0,2010,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0067.jpg,11,727,557,20,20,214,206.99,255,-233,17,strong,compact low-saturation bright component; audit detector
68,68.0,2040,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0068.jpg,9,703,523,7,13,69,214.75,248,-257,-17,strong,compact low-saturation bright component; audit detector
69,69.0,2070,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0069.jpg,11,737,501,23,20,284,207.64,255,-223,-39,strong,compact low-saturation bright component; audit detector
70,70.0,2100,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0070.jpg,9,774,496,15,17,191,215.06,255,-186,-44,strong,compact low-saturation bright component; audit detector
71,71.0,2130,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0071.jpg,4,801,506,15,19,212,214.76,255,-159,-34,strong,compact low-saturation bright component; audit detector
72,72.0,2160,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0072.jpg,10,821,538,16,12,116,213.47,255,-139,-2,strong,compact low-saturation bright component; audit detector
73,73.0,2190,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0073.jpg,6,819,580,23,27,295,207.19,255,-141,40,strong,compact low-saturation bright component; audit detector
74,74.0,2220,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0074.jpg,7,805,615,16,22,222,214.07,255,-155,75,strong,compact low-saturation bright component; audit detector
75,75.0,2250,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0075.jpg,6,786,645,13,22,182,217.73,255,-174,105,strong,compact low-saturation bright component; audit detector
76,76.0,2280,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0076.jpg,22,561,780,21,30,498,233.56,255,-399,240,strong,compact low-saturation bright component; audit detector
77,77.0,2310,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0077.jpg,14,559,706,29,34,610,224.13,255,-401,166,strong,compact low-saturation bright component; audit detector
78,78.0,2340,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0078.jpg,19,558,571,29,30,606,229.89,255,-402,31,strong,compact low-saturation bright component; audit detector
79,79.0,2370,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0079.jpg,21,558,475,28,33,489,227.4,255,-402,-65,strong,compact low-saturation bright component; audit detector
80,80.0,2400,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0080.jpg,21,560,471,20,31,468,236.24,255,-400,-69,strong,compact low-saturation bright component; audit detector
81,81.0,2430,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0081.jpg,17,555,511,26,25,459,230.34,255,-405,-29,strong,compact low-saturation bright component; audit detector
82,82.0,2460,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0082.jpg,18,569,562,28,37,536,225.39,255,-391,22,strong,compact low-saturation bright component; audit detector
83,83.0,2490,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0083.jpg,31,622,569,13,10,95,216.13,255,-338,29,strong,compact low-saturation bright component; audit detector
84,84.0,2520,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0084.jpg,26,682,484,19,30,358,222.46,255,-278,-56,strong,compact low-saturation bright component; audit detector
85,85.0,2550,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0085.jpg,26,738,401,26,28,429,228.08,255,-222,-139,strong,compact low-saturation bright component; audit detector
86,86.0,2580,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0086.jpg,23,782,469,21,32,380,229.42,255,-178,-71,strong,compact low-saturation bright component; audit detector
87,87.0,2610,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0087.jpg,24,608,685,26,27,343,220.53,255,-352,145,strong,compact low-saturation bright component; audit detector
88,88.0,2640,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0088.jpg,37,1008,613,6,6,17,189.41,200,48,73,weak,compact low-saturation bright component; audit detector
89,89.0,2670,C:/Users/Dan/Desktop/Projects/igh-planning/https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/one-fps-center-crops/DOD_111689030/frame_0089.jpg,39,900,545,5,4,17,184.71,205,-60,5,weak,compact low-saturation bright component; audit detector
