track,rate_metric,rate_label,pixel_rate_px_s,target_speed_mph,target_speed_mps,assumed_full_frame_hfov_deg,source_width_px,angular_rate_rad_s,implied_slant_range_for_80mph_m,implied_slant_range_for_80mph_nm
phase_all: entry from bottom-left quarter,path_average_rate_px_s,path-length average rate,222.254,80.0,35.763,10.0,1920,0.020203459,1770.2,0.956
phase_all: entry from bottom-left quarter,path_average_rate_px_s,path-length average rate,222.254,80.0,35.763,20.0,1920,0.040406917,885.1,0.478
phase_all: entry from bottom-left quarter,step_rate_median_px_s,median consecutive-step rate,272.523,80.0,35.763,0.5,1920,0.001238652,28872.7,15.59
phase_all: entry from bottom-left quarter,step_rate_median_px_s,median consecutive-step rate,272.523,80.0,35.763,1.0,1920,0.002477304,14436.3,7.795
phase_all: entry from bottom-left quarter,step_rate_median_px_s,median consecutive-step rate,272.523,80.0,35.763,2.0,1920,0.004954608,7218.2,3.897
phase_all: entry from bottom-left quarter,step_rate_median_px_s,median consecutive-step rate,272.523,80.0,35.763,4.0,1920,0.009909216,3609.1,1.949
phase_all: entry from bottom-left quarter,step_rate_median_px_s,median consecutive-step rate,272.523,80.0,35.763,8.0,1920,0.019818432,1804.5,0.974
phase_all: entry from bottom-left quarter,step_rate_median_px_s,median consecutive-step rate,272.523,80.0,35.763,10.0,1920,0.02477304,1443.6,0.779
phase_all: entry from bottom-left quarter,step_rate_median_px_s,median consecutive-step rate,272.523,80.0,35.763,20.0,1920,0.04954608,721.8,0.39
phase_all: entry from bottom-left quarter,step_rate_p95_px_s,p95 consecutive-step rate,381.369,80.0,35.763,0.5,1920,0.001733371,20632.2,11.14
phase_all: entry from bottom-left quarter,step_rate_p95_px_s,p95 consecutive-step rate,381.369,80.0,35.763,1.0,1920,0.003466742,10316.1,5.57
phase_all: entry from bottom-left quarter,step_rate_p95_px_s,p95 consecutive-step rate,381.369,80.0,35.763,2.0,1920,0.006933484,5158.0,2.785
phase_all: entry from bottom-left quarter,step_rate_p95_px_s,p95 consecutive-step rate,381.369,80.0,35.763,4.0,1920,0.013866968,2579.0,1.393
phase_all: entry from bottom-left quarter,step_rate_p95_px_s,p95 consecutive-step rate,381.369,80.0,35.763,8.0,1920,0.027733936,1289.5,0.696
phase_all: entry from bottom-left quarter,step_rate_p95_px_s,p95 consecutive-step rate,381.369,80.0,35.763,10.0,1920,0.03466742,1031.6,0.557
phase_all: entry from bottom-left quarter,step_rate_p95_px_s,p95 consecutive-step rate,381.369,80.0,35.763,20.0,1920,0.069334841,515.8,0.279
phase_accepted_only: entry from bottom-left quarter,net_rate_px_s,net start-to-end rate,185.976,80.0,35.763,0.5,1920,0.000845285,42309.1,22.845
phase_accepted_only: entry from bottom-left quarter,net_rate_px_s,net start-to-end rate,185.976,80.0,35.763,1.0,1920,0.00169057,21154.5,11.423
phase_accepted_only: entry from bottom-left quarter,net_rate_px_s,net start-to-end rate,185.976,80.0,35.763,2.0,1920,0.003381139,10577.3,5.711
phase_accepted_only: entry from bottom-left quarter,net_rate_px_s,net start-to-end rate,185.976,80.0,35.763,4.0,1920,0.006762278,5288.6,2.856
phase_accepted_only: entry from bottom-left quarter,net_rate_px_s,net start-to-end rate,185.976,80.0,35.763,8.0,1920,0.013524556,2644.3,1.428
phase_accepted_only: entry from bottom-left quarter,net_rate_px_s,net start-to-end rate,185.976,80.0,35.763,10.0,1920,0.016905695,2115.5,1.142
phase_accepted_only: entry from bottom-left quarter,net_rate_px_s,net start-to-end rate,185.976,80.0,35.763,20.0,1920,0.033811391,1057.7,0.571
phase_accepted_only: entry from bottom-left quarter,path_average_rate_px_s,path-length average rate,222.253,80.0,35.763,0.5,1920,0.001010168,35403.2,19.116
phase_accepted_only: entry from bottom-left quarter,path_average_rate_px_s,path-length average rate,222.253,80.0,35.763,1.0,1920,0.002020337,17701.6,9.558
phase_accepted_only: entry from bottom-left quarter,path_average_rate_px_s,path-length average rate,222.253,80.0,35.763,2.0,1920,0.004040674,8850.8,4.779
phase_accepted_only: entry from bottom-left quarter,path_average_rate_px_s,path-length average rate,222.253,80.0,35.763,4.0,1920,0.008081347,4425.4,2.39
phase_accepted_only: entry from bottom-left quarter,path_average_rate_px_s,path-length average rate,222.253,80.0,35.763,8.0,1920,0.016162694,2212.7,1.195
phase_accepted_only: entry from bottom-left quarter,path_average_rate_px_s,path-length average rate,222.253,80.0,35.763,10.0,1920,0.020203368,1770.2,0.956
phase_accepted_only: entry from bottom-left quarter,path_average_rate_px_s,path-length average rate,222.253,80.0,35.763,20.0,1920,0.040406736,885.1,0.478
phase_accepted_only: entry from bottom-left quarter,step_rate_median_px_s,median consecutive-step rate,189.367,80.0,35.763,0.5,1920,0.000860697,41551.4,22.436
phase_accepted_only: entry from bottom-left quarter,step_rate_median_px_s,median consecutive-step rate,189.367,80.0,35.763,1.0,1920,0.001721395,20775.7,11.218
phase_accepted_only: entry from bottom-left quarter,step_rate_median_px_s,median consecutive-step rate,189.367,80.0,35.763,2.0,1920,0.003442789,10387.9,5.609
phase_accepted_only: entry from bottom-left quarter,step_rate_median_px_s,median consecutive-step rate,189.367,80.0,35.763,4.0,1920,0.006885578,5193.9,2.804
phase_accepted_only: entry from bottom-left quarter,step_rate_median_px_s,median consecutive-step rate,189.367,80.0,35.763,8.0,1920,0.013771157,2597.0,1.402
phase_accepted_only: entry from bottom-left quarter,step_rate_median_px_s,median consecutive-step rate,189.367,80.0,35.763,10.0,1920,0.017213946,2077.6,1.122
phase_accepted_only: entry from bottom-left quarter,step_rate_median_px_s,median consecutive-step rate,189.367,80.0,35.763,20.0,1920,0.034427892,1038.8,0.561
phase_accepted_only: entry from bottom-left quarter,step_rate_p95_px_s,p95 consecutive-step rate,381.369,80.0,35.763,0.5,1920,0.001733371,20632.2,11.14
phase_accepted_only: entry from bottom-left quarter,step_rate_p95_px_s,p95 consecutive-step rate,381.369,80.0,35.763,1.0,1920,0.003466742,10316.1,5.57
phase_accepted_only: entry from bottom-left quarter,step_rate_p95_px_s,p95 consecutive-step rate,381.369,80.0,35.763,2.0,1920,0.006933484,5158.0,2.785
phase_accepted_only: entry from bottom-left quarter,step_rate_p95_px_s,p95 consecutive-step rate,381.369,80.0,35.763,4.0,1920,0.013866968,2579.0,1.393
phase_accepted_only: entry from bottom-left quarter,step_rate_p95_px_s,p95 consecutive-step rate,381.369,80.0,35.763,8.0,1920,0.027733936,1289.5,0.696
phase_accepted_only: entry from bottom-left quarter,step_rate_p95_px_s,p95 consecutive-step rate,381.369,80.0,35.763,10.0,1920,0.03466742,1031.6,0.557
