asset_url,asset_filename,asset_extension,manifest_types,record_ids,record_count,agencies,local_exact_filename_match,local_bytes,local_source_path,titles
https://www.war.gov/medialink/ufo/release_1/dow-uap-d14-mission-report-iraq-may-2022.pdf,dow-uap-d14-mission-report-iraq-may-2022.pdf,.pdf,PDF; VID,DOW-UAP-D014; DOW-UAP-PR021,2,Department of War,yes,7463660,I:\My Drive\UFO\dow-uap-d14-mission-report-iraq-may-2022.pdf,"DOW-UAP-D014, Mission Report, Iraq, May 2022 | DOW-UAP-PR021, Unresolved UAP Report, Iraq, May 2022"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d16-mission-report-syria-july-2022.pdf,dow-uap-d16-mission-report-syria-july-2022.pdf,.pdf,PDF; VID,DOW-UAP-D016; DOW-UAP-PR022,2,Department of War,yes,6999240,I:\My Drive\UFO\dow-uap-d16-mission-report-syria-july-2022.pdf,"DOW-UAP-D016, Mission Report, Syria, July 2022 | DOW-UAP-PR022, Unresolved UAP Report, Syria, July 2022"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d18-mission-report-iraq-december-2022.pdf,dow-uap-d18-mission-report-iraq-december-2022.pdf,.pdf,PDF; VID,DOW-UAP-D018; DOW-UAP-PR023,2,Department of War,yes,3673697,I:\My Drive\UFO\dow-uap-d18-mission-report-iraq-december-2022.pdf,"DOW-UAP-D018, Mission Report, Iraq, December 2022 | DOW-UAP-PR023, Unresolved UAP Report, Iraq, December 2022"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d19-mission-report-syria-february-21-2023.pdf,dow-uap-d19-mission-report-syria-february-21-2023.pdf,.pdf,PDF,DOW-UAP-D019,1,Department of War,yes,5885305,I:\My Drive\UFO\dow-uap-d19-mission-report-syria-february-21-2023.pdf,"DOW-UAP-D019, Mission Report, Syria, February 21, 2023"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d20-mission-report-iraq-2023.pdf,dow-uap-d20-mission-report-iraq-2023.pdf,.pdf,PDF,DOW-UAP-D020,1,Department of War,no,,,"DOW-UAP-D020, Mission Report, Iraq, 2023"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf,dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf,.pdf,PDF; VID,DOW-UAP-D023; DOW-UAP-PR026; DOW-UAP-PR027,3,Department of War,yes,1324277,I:\My Drive\UFO\dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf,"DOW-UAP-D023, Mission Report, United Arab Emirates, October 2023 | DOW-UAP-PR026, Unresolved UAP Report, United Arab Emirates, October 2023 | DOW-UAP-PR027, Unresolved UAP Report, United Arab Emirates, October 2023"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d25-mission-report-greece-january-2024.pdf,dow-uap-d25-mission-report-greece-january-2024.pdf,.pdf,PDF,DOW-UAP-D025,1,Department of War,yes,680054,I:\My Drive\UFO\dow-uap-d25-mission-report-greece-january-2024.pdf,"DOW-UAP-D025, Mission Report, Greece, January 2024"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d27-mission-report-united-arab-emirates-october-2023.pdf,dow-uap-d27-mission-report-united-arab-emirates-october-2023.pdf,.pdf,PDF,DOW-UAP-D027,1,Department of War,yes,689226,I:\My Drive\UFO\dow-uap-d27-mission-report-united-arab-emirates-october-2023.pdf,"DOW-UAP-D027, Mission Report, United Arab Emirates, October 2023"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d28-mission-report-east-china-sea-2024.pdf,dow-uap-d28-mission-report-east-china-sea-2024.pdf,.pdf,PDF,DOW-UAP-D028,1,Department of War,yes,633172,I:\My Drive\UFO\dow-uap-d28-mission-report-east-china-sea-2024.pdf,"DOW-UAP-D028, Mission Report, Iraq, September 2024"
https://www.war.gov/medialink/ufo/release_1/dow-uap-d3-mission-report-arabian-gulf-2020.pdf,dow-uap-d3-mission-report-arabian-gulf-2020.pdf,.pdf,PDF,DOW-UAP-D003,1,Department of War,yes,101111,I:\My Drive\UFO\dow-uap-d3-mission-report-arabian-gulf-2020.pdf,"DOW-UAP-D003, Mission Report, Arabian Gulf, 2020"
