video,release_id,sample_index,approx_second,source_frame_index,phase,dvids_anchor,object_x_center_crop,object_y_center_crop,object_x_full_frame,object_y_full_frame,dx_from_crop_center,dy_from_crop_center,predicted_x_center_crop,predicted_y_center_crop,prev_seed_second,next_seed_second,seed_confidence,seed_note,refinement_delta_px,object_bbox_w,object_bbox_h,object_component_area,object_max_luma,object_mean_luma,candidate_count,nearest_colored_overlay_px,overlay_relation,review_confidence,marking_basis,annotated_frame_path,zoom_patch_path
DOD_111689115.mp4,DOW-UAP-PR44,28,159.6,4788,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,231.0,127.9,711.0,397.9,-249.0,-142.1,220.3,122.1,159.0,160.0,high,interpolated between one-fps seed detections,12.15,9,7,43,255,214.86,1,165.12,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0028_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0028_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,29,159.8,4794,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,226.2,123.8,706.2,393.8,-253.8,-146.2,215.7,119.0,159.0,160.0,high,interpolated between one-fps seed detections,11.54,8,6,40,255,224.53,1,162.35,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0029_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0029_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,30,160.0,4800,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,223.0,120.8,703.0,390.8,-257.0,-149.2,211.2,115.9,160.0,160.0,high,single compact white candidate,12.81,9,6,42,255,224.05,1,158.07,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0030_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0030_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,31,160.2,4806,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,217.6,118.6,697.6,388.6,-262.4,-151.4,209.9,116.0,160.0,161.0,high,interpolated between one-fps seed detections,8.13,8,6,41,255,209.24,1,152.24,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0031_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0031_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,32,160.4,4812,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,213.8,117.3,693.8,387.3,-266.2,-152.7,208.5,116.1,160.0,161.0,high,interpolated between one-fps seed detections,5.44,9,6,42,255,214.6,1,148.36,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0032_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0032_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,33,160.6,4818,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,210.2,115.8,690.2,385.8,-269.8,-154.2,207.2,116.3,160.0,161.0,high,interpolated between one-fps seed detections,3.09,9,7,44,254,215.57,1,144.47,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0033_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0033_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,34,160.8,4824,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,208.7,116.3,688.7,386.3,-271.3,-153.7,205.8,116.4,160.0,161.0,high,interpolated between one-fps seed detections,2.84,8,6,41,255,211.9,1,143.45,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0034_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0034_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,35,161.0,4830,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,208.7,116.3,688.7,386.3,-271.3,-153.7,204.5,116.5,161.0,161.0,high,single compact white candidate,4.19,8,6,41,255,212.37,1,143.45,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0035_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0035_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,36,161.2,4836,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,207.7,116.3,687.7,386.3,-272.3,-153.7,203.5,119.9,161.0,162.0,high,interpolated between one-fps seed detections,5.49,8,6,41,255,211.71,1,142.6,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0036_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0036_patch.jpg
DOD_111689115.mp4,DOW-UAP-PR44,37,161.4,4842,primary sustained point-return interval,Within DVIDS 00:31-03:24 sensor focus/track interval,205.8,117.5,685.8,387.5,-274.2,-152.5,202.6,123.4,161.0,162.0,high,interpolated between one-fps seed detections,6.7,8,6,40,254,205.32,1,139.92,separate from colored overlay,high,interpolated one-fps seed plus local compact-bright refinement,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/annotated-center-crops/frame_0037_annotated.jpg,research/ufo-derived/video-motion-pass/pr44-standalone/DOD_111689115/object-zoom-patches/frame_0037_patch.jpg
