residual_id,record_id,release_tag,dvids_id,dvids_url,matched_terms,priority_band,current_lane_status,page_fetch_status,resolved_page_url,dvids_title,dvids_filename,dvids_duration,embedded_public_mp4_url,mp4_head_status,mp4_content_length,mp4_content_length_mb,mp4_content_type,source_acquisition_status,recommended_next_action,accessed_utc
DOW-UAP-PR082-METADATA-001,DOW-UAP-PR082,release-02,1007807,https://www.dvidshub.net/video/1007807,contrast,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007807/dow-uap-pr082-16-oct-2020-callsign-views-uap,"DOW-UAP-PR082, ""16 OCT 2020 [CALLSIGN] views UAP",DOD_111720861,00:04:46,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720861/DOD_111720861.mp4,http_200,42732227,40.75,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR084-METADATA-001,DOW-UAP-PR084,release-02,1007810,https://www.dvidshub.net/video/1007810,contrast,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007810/dow-uap-pr084-17-sept-2020-callsign-observes-uap,"DOW-UAP-PR084, ""17 Sept 2020 [CALLSIGN] observes UAP",DOD_111720886,00:04:13,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720886/DOD_111720886.mp4,http_200,73611902,70.20,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR085-METADATA-001,DOW-UAP-PR085,release-02,1007796,https://www.dvidshub.net/video/1007796,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007796/dow-uap-pr085-16-sept-2020-callsign-callsign-observes-uap,"DOW-UAP-PR085, ""16 Sept 2020 [CALLSIGN] [CALLSIGN] observes UAP",DOD_111720822,00:04:44,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720822/DOD_111720822.mp4,http_200,64247862,61.27,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR086-METADATA-001,DOW-UAP-PR086,release-02,1007797,https://www.dvidshub.net/video/1007797,contrast,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007797/dow-uap-pr086-uap-dec-2019-east-coast,"DOW-UAP-PR086, ""UAP from Dec 2019 (East Coast)",DOD_111720827,00:00:34,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720827/DOD_111720827.mp4,http_200,17686298,16.87,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR087-METADATA-001,DOW-UAP-PR087,release-02,1007799,https://www.dvidshub.net/video/1007799,contrast,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007799/dow-uap-pr087-05-september-2020-callsign-uap,"DOW-UAP-PR087, ""05 September 2020 [CALLSIGN] UAP",DOD_111720830,00:04:54,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111720830/DOD_111720830.mp4,http_200,76491083,72.95,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR089-METADATA-001,DOW-UAP-PR089,release-02,1007712,https://www.dvidshub.net/video/1007712,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007712/dow-uap-pr089-31-aug-callsign-callsign-observes-uap-part2,"DOW-UAP-PR089, ""31 AUG [CALLSIGN] [CALLSIGN] Observes UAP part2""",DOD_111719730,00:04:58,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719730/DOD_111719730.mp4,http_200,59020123,56.29,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR090-METADATA-001,DOW-UAP-PR090,release-02,1007719,https://www.dvidshub.net/video/1007719,field-of-view,P3,bounded_residual_remote_ocr_false_ocr_candidate,http_200,https://www.dvidshub.net/video/1007719/dow-uap-pr090-24-aug-2020-callsign-mission-observes-uap,"DOW-UAP-PR090, ""24 AUG 2020 [CALLSIGN] (Mission) Observes UAP",DOD_111719746,00:04:57,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719746/DOD_111719746.mp4,http_200,119599140,114.06,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR091-METADATA-001,DOW-UAP-PR091,release-02,1007716,https://www.dvidshub.net/video/1007716,contrast,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007716/dow-uap-pr091-21-aug-callsign-observes-uap-persian-gulf,"DOW-UAP-PR091, ""21 AUG [CALLSIGN] Observes UAP in Persian Gulf",DOD_111719739,00:04:48,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719739/DOD_111719739.mp4,http_200,113398818,108.15,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR092-METADATA-001,DOW-UAP-PR092,release-02,1007715,https://www.dvidshub.net/video/1007715,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007715/dow-uap-pr092-08-aug-2020-callsign-callsign-uap-observation,"DOW-UAP-PR092, ""08 AUG 2020 [CALLSIGN] [CALLSIGN] UAP observation",DOD_111719736,00:04:52,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719736/DOD_111719736.mp4,http_200,99372014,94.77,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR093-METADATA-001,DOW-UAP-PR093,release-02,1007721,https://www.dvidshub.net/video/1007721,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007721/dow-uap-pr093-may-05-2020-gulf-arabia-callsign-platform-dual-uap,"DOW-UAP-PR093, ""May 05 2020 Gulf of Arabia [CALLSIGN] (Platform) Dual UAP",DOD_111719795,00:00:30,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719795/DOD_111719795.mp4,http_200,14386538,13.72,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR094-METADATA-001,DOW-UAP-PR094,release-02,1007722,https://www.dvidshub.net/video/1007722,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007722/dow-uap-pr094-callsign-mission-hd-2020-02-13,"DOW-UAP-PR094, ""[CALLSIGN] (Mission) - HD 2020-02-13",DOD_111719799,00:04:59,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719799/DOD_111719799.mp4,http_200,35576526,33.93,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR095-METADATA-001,DOW-UAP-PR095,release-02,1007725,https://www.dvidshub.net/video/1007725,field-of-view,P3,bounded_residual_remote_ocr_false_ocr_candidate,http_200,https://www.dvidshub.net/video/1007725/dow-uap-pr095-may-05-2020-gulf-arabia-callsign-platform-dual-uap,"DOW-UAP-PR095, ""May 05 2020 Gulf of Arabia [CALLSIGN] (Platform) Dual UAP""",DOD_111719804,00:04:49,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719804/DOD_111719804.mp4,http_200,193680331,184.71,video/mp4,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR096-METADATA-001,DOW-UAP-PR096,release-02,1007726,https://www.dvidshub.net/video/1007726,field-of-view,P3,bounded_residual_remote_ocr_false_ocr_candidate,http_200,https://www.dvidshub.net/video/1007726/dow-uap-pr096-hh11-03-july-2018-uaps,"DOW-UAP-PR096, ""HH11 03 July 2018 UAPs",DOD_111719807,00:01:19,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719807/DOD_111719807.mp4,http_200,73000480,69.62,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR098-METADATA-001,DOW-UAP-PR098,release-02,1007737,https://www.dvidshub.net/video/1007737,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007737/dow-uap-pr098-ufos-formation-over-persian-gulf,"DOW-UAP-PR098, ""UFOs in formation over Persian Gulf?",DOD_111719833,00:17:36,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719833/DOD_111719833.mp4,http_200,255204035,243.38,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
DOW-UAP-PR099-METADATA-001,DOW-UAP-PR099,release-02,1007738,https://www.dvidshub.net/video/1007738,field-of-view,P3,bounded_residual_remote_ocr_no_meter_candidate,http_200,https://www.dvidshub.net/video/1007738/dow-uap-pr099-hi-res-callsign-observes-uap-25sep19-1715z,"DOW-UAP-PR099, ""Hi-Res: [CALLSIGN] Observes UAP on 25SEP19 at 1715Z",DOD_111719835,00:04:51,https://d34w7g4gy10iej.cloudfront.net/video/2605/DOD_111719835/DOD_111719835.mp4,http_200,80316993,76.60,binary/octet-stream,embedded_public_mp4_found_not_downloaded,"If disk space permits, acquire source MP4 outside the repo, hash it, then run display-focused OCR/contact-sheet review before classification.",2026-05-26T06:30:50Z
