video,dense_frame_index,approx_second,source_frame_index,object_x_full_frame,object_y_full_frame,dx_from_frame_center,dy_from_frame_center,predicted_x_from_manual_seed,predicted_y_from_manual_seed,refinement_delta_px,object_bbox_w,object_bbox_h,object_component_area,object_max_luma,object_mean_luma,nearest_colored_overlay_px,overlay_relation,review_confidence,nearest_seed_quality,manual_seed_match,manual_control_delta_px,phase,nearest_seed_caveat,marking_basis,raw_frame_path,annotated_frame_path,zoom_patch_path
DOD_111689030.mp4,307,61.4,1842,830.3,544.3,-129.7,4.3,827.0,547.8,4.77,17,5,64,247,205.22,0.71,intersects colored overlay,medium,medium,,,primary sustained DVIDS in-FOV interval,"accepted, but coordinate confidence reduced by nearby overlay/redaction edge, zoom texture, or partial field context",manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0307.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0307_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0307_patch.jpg
DOD_111689030.mp4,308,61.6,1848,830.1,557.3,-129.9,17.3,829.0,554.2,3.27,14,12,108,255,206.91,5.29,near colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0308.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0308_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0308_patch.jpg
DOD_111689030.mp4,309,61.8,1854,831.0,563.8,-129.0,23.8,831.0,560.6,3.24,13,17,152,255,210.12,12.51,near colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0309.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0309_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0309_patch.jpg
DOD_111689030.mp4,310,62.0,1860,832.4,566.3,-127.6,26.3,833.0,567.0,0.94,11,22,166,255,206.71,15.72,near colored overlay,high,high,yes,0.94,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0310.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0310_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0310_patch.jpg
DOD_111689030.mp4,311,62.2,1866,832.6,574.1,-127.4,34.1,833.2,574.8,0.96,12,25,189,255,213.26,22.98,near colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0311.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0311_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0311_patch.jpg
DOD_111689030.mp4,312,62.4,1872,835.7,581.5,-124.3,41.5,833.4,582.6,2.53,13,17,133,255,211.41,29.98,near colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0312.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0312_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0312_patch.jpg
DOD_111689030.mp4,313,62.6,1878,834.7,591.1,-125.3,51.1,833.6,590.4,1.33,18,19,179,255,210.23,39.64,separate from colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0313.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0313_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0313_patch.jpg
DOD_111689030.mp4,314,62.8,1884,833.4,596.0,-126.6,56.0,833.8,598.2,2.26,16,19,188,255,203.58,45.98,separate from colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0314.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0314_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0314_patch.jpg
DOD_111689030.mp4,315,63.0,1890,834.5,605.1,-125.5,65.1,834.0,606.0,1.08,17,19,183,255,207.44,55.06,separate from colored overlay,high,high,yes,1.08,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0315.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0315_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0315_patch.jpg
DOD_111689030.mp4,316,63.2,1896,834.2,609.4,-125.8,69.4,831.6,610.2,2.74,17,24,191,255,203.86,59.58,separate from colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0316.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0316_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0316_patch.jpg
DOD_111689030.mp4,317,63.4,1902,830.8,617.4,-129.2,77.4,829.2,614.4,3.39,13,21,172,255,212.47,69.39,separate from colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0317.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0317_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0317_patch.jpg
DOD_111689030.mp4,318,63.6,1908,829.1,623.1,-130.9,83.1,826.8,618.6,5.05,14,19,185,255,213.39,75.12,separate from colored overlay,high,high,,,primary sustained DVIDS in-FOV interval,accepted; compact bright object/contrast is visible in raw crop and zoom patch,manual-seed interpolation plus local bright-feature refinement,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/raw-frames/frame_0318.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/annotated-frames/frame_0318_annotated.jpg,https://github.com/dfredriksen/ufo-uap-release-corpus-assessment/blob/main/research/ufo-derived/video-motion-pass/dense-marking/DOD_111689030/object-zoom-patches/frame_0318_patch.jpg
