sample_second,source_frame_index,detector_best_x,detector_best_y,detector_confidence,raw_crop_path,candidate_patch_path
60.0,1800,805,495,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0060_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0060_patch.jpg
61.0,1830,823,535,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0061_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0061_patch.jpg
62.0,1860,833,567,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0062_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0062_patch.jpg
63.0,1890,834,606,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0063_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0063_patch.jpg
64.0,1920,822,627,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0064_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0064_patch.jpg
65.0,1950,799,626,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0065_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0065_patch.jpg
66.0,1980,764,595,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0066_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0066_patch.jpg
67.0,2010,727,557,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0067_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0067_patch.jpg
68.0,2040,703,523,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0068_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0068_patch.jpg
69.0,2070,737,501,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0069_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0069_patch.jpg
70.0,2100,774,496,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0070_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0070_patch.jpg
71.0,2130,801,506,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0071_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0071_patch.jpg
72.0,2160,821,538,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0072_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0072_patch.jpg
73.0,2190,819,580,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0073_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0073_patch.jpg
74.0,2220,805,615,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0074_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0074_patch.jpg
75.0,2250,786,645,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0075_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0075_patch.jpg
76.0,2280,561,780,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0076_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0076_patch.jpg
77.0,2310,559,706,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0077_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0077_patch.jpg
78.0,2340,558,571,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0078_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0078_patch.jpg
79.0,2370,558,475,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0079_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0079_patch.jpg
80.0,2400,560,471,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0080_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0080_patch.jpg
81.0,2430,555,511,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0081_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0081_patch.jpg
82.0,2460,569,562,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0082_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0082_patch.jpg
83.0,2490,622,569,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0083_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0083_patch.jpg
84.0,2520,682,484,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0084_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0084_patch.jpg
85.0,2550,738,401,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0085_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0085_patch.jpg
86.0,2580,782,469,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0086_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0086_patch.jpg
87.0,2610,608,685,strong,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/raw-onefps/t0087_raw.jpg,research/ufo-derived/video-motion-pass/manual-validation/DOD_111689030/candidate-patches-onefps/t0087_patch.jpg

